8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0025  W  25
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0026  W  26
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0027  W  27
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0028  W  28
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0029  W  29
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
002a  W  2a
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
002b  W  2b
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
002c  W  2c
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
002d  W  2d
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
002e  W  2e
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
002f  W  2f
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0030  W  30
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0031  W  31
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0032  W  32
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0033  W  33
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0034  W  34
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0035  W  35
800f  R  e8
8010  R  1a
8010  R  1a
8011  R  d0
8011  R  d0
8012  R  fa
8013  R  95
800d  R  95
800e  R  00
800e  R  00
0036  W  36
800f  R  e8
8010  R  1a
