8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01dd  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  23
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01dc  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  24
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01db  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  25
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01da  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  26
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01d9  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  27
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01d8  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  28
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01d7  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  29
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01d6  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  2a
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01d5  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  2b
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01d4  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  2c
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01d3  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  2d
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01d2  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  2e
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01d1  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  2f
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01d0  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  30
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01cf  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  31
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01ce  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  32
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01cd  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  33
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01cc  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  34
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01cb  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  35
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01ca  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  36
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01c9  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  37
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01c8  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  38
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01c7  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  39
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01c6  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  3a
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01c5  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  3b
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01c4  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  3c
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01c3  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  3d
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01c2  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  3e
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01c1  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  3f
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01c0  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  40
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01bf  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  41
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01be  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  42
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01bd  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  43
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
01bc  W  30
801f  R  8d
8020  R  00
8021  R  20
2000  W  44
8022  R  d0
8023  R  f9
8024  R  a9
